doc_type,invoice_symbol,invoice_no,issue_date,seller_name,seller_tax_code,buyer_name,buyer_tax_code,description,subtotal,vat_rate,vat_amount,total_amount,currency,doc_no,payer,payee,amount,from_company,from_tax_code,from_bank,from_account,to_company,to_tax_code,to_bank,to_account,employee_name,position,department,gross_salary,bhxh,bhyt,bhtn,tncn,net_salary
invoice_vat,1C25WBV,9232927,2025-01-01,CÔNG TY TNHH MTV TÍN PHÁT,1365667010,CÔNG TY TNHH MTV HOÀNG ANH,2538726247,Cung cấp dịch vụ tư vấn,26666000,0,0,26666000,VND,,,,,,,,,,,,,,,,,,,,,
cash_receipt,,,2025-01-02,,,,,Thu tiền bán hàng,,,,,VND,PT7607,Vũ Hữu Nam,CÔNG TY CP ĐẦU TƯ HOÀNG ANH,15492000,,,,,,,,,,,,,,,,,
bank_transfer,,,2025-01-02,,,,,Cung cấp phần mềm quản lý,,,,,VND,UNC84279,,,332027000,CÔNG TY TNHH TM-DV HƯNG THỊNH,6883552312,TPBank,2656647595154,DOANH NGHIỆP TƯ NHÂN ĐẠI PHONG,8412779979,VPBank,8247630495579,,,,,,,,,
payroll,,,2025-01-01,,,,,,,,,,VND,BL202501,,,,,,,,,,,,Huỳnh Quốc Dũng,Thủ kho,Kế toán,39495000,3159600,592425,394950,1217401,34130624
invoice_vat,1C25LIW,4668372,2025-01-02,DOANH NGHIỆP TƯ NHÂN TÍN PHÁT,5056272980,CÔNG TY TNHH MTV HÙNG VƯƠNG,8362720465,Chi trả hoa hồng đại lý,198134000,10,19813400,217947400,VND,,,,,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-01,,,,,Dịch vụ vệ sinh công nghiệp,,,,,VND,PC9273,CÔNG TY CỔ PHẦN NAM VIỆT,Bùi Minh Nam,39841000,,,,,,,,,,,,,,,,,
invoice_vat,1C25BFG,5855397,2025-01-02,CÔNG TY TNHH SX-TM AN KHANG,1693990916998,DOANH NGHIỆP TƯ NHÂN THÀNH ĐẠT,3146247510799,Thanh toán tiền thuê văn phòng,19033000,5,951650,19984650,VND,,,,,,,,,,,,,,,,,,,,,
payroll,,,2025-01-01,,,,,,,,,,VND,BL202501,,,,,,,,,,,,Vũ Thị Tâm,Nhân viên vận chuyển,HC-NS,28281000,2262480,424215,282810,715574,24595921
cash_receipt,,,2025-01-01,,,,,Thu tiền phạt vi phạm hợp đồng,,,,,VND,PT5870,Trần Quốc Linh,CÔNG TY TNHH TM-DV TRƯỜNG PHÁT,42637000,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-02,,,,,Cung cấp phần mềm quản lý,,,,,VND,PC8562,CÔNG TY CP ĐẦU TƯ VĨNH THUẬN,Hoàng Minh Dũng,29114000,,,,,,,,,,,,,,,,,
cash_receipt,,,2025-01-01,,,,,Thu tiền đặt cọc hợp đồng,,,,,VND,PT7076,Vũ Thị Uyên,CÔNG TY CP ĐẦU TƯ HÙNG VƯƠNG,17254000,,,,,,,,,,,,,,,,,
bank_transfer,,,2025-01-02,,,,,Chi phí vận chuyển hàng hóa,,,,,VND,UNC57105,,,175623000,CÔNG TY TNHH SX-TM NAM VIỆT,5106071596,SHB,6963479773503,CÔNG TY TNHH SX-TM BẢO MINH,1560529751613,Techcombank,5974207748790,,,,,,,,,
bank_transfer,,,2025-01-02,,,,,Mua nguyên vật liệu sản xuất,,,,,VND,UNC37939,,,200338000,CÔNG TY TNHH MTV TÍN PHÁT,6615614978,VietinBank,8749881581646,CÔNG TY CP ĐẦU TƯ QUỐC CƯỜNG,5190034324,Sacombank,3090931135034,,,,,,,,,
invoice_vat,2C25KQF,6442090,2025-01-01,CÔNG TY TNHH SX-TM MINH PHÁT,2769957773872,CÔNG TY CP ĐẦU TƯ AN KHANG,1234332003791,Mua nguyên vật liệu sản xuất,130598000,10,13059800,143657800,VND,,,,,,,,,,,,,,,,,,,,,
bank_transfer,,,2025-01-01,,,,,Chi phí vận chuyển hàng hóa,,,,,VND,UNC59051,,,371997000,DOANH NGHIỆP TƯ NHÂN THÀNH ĐẠT,6514770054119,MB Bank,8874764624386,CÔNG TY TNHH SX-TM THIÊN AN,7580793597820,TPBank,688935902251,,,,,,,,,
invoice_vat,2C25TWY,7030011,2025-01-02,CÔNG TY TNHH SX-TM AN KHANG,3062316658,CÔNG TY TNHH MTV TÍN PHÁT,5469096705,Chi phí vận chuyển hàng hóa,142091000,5,7104550,149195550,VND,,,,,,,,,,,,,,,,,,,,,
bank_transfer,,,2025-01-01,,,,,Chi trả hoa hồng đại lý,,,,,VND,UNC92909,,,68000000,CÔNG TY TNHH MTV TRƯỜNG PHÁT,4846659051518,Techcombank,6626240122441,CÔNG TY CP ĐẦU TƯ BẢO MINH,9392519254629,TPBank,5781131175358,,,,,,,,,
cash_receipt,,,2025-01-02,,,,,Thu tiền thanh toán hóa đơn,,,,,VND,PT9978,Đặng Quốc Linh,CÔNG TY TNHH SX-TM TÂN HOÀNG,23847000,,,,,,,,,,,,,,,,,
invoice_vat,1C25CFR,5137285,2025-01-02,CÔNG TY TNHH MTV NAM VIỆT,4407527354549,CÔNG TY CP ĐẦU TƯ THÀNH ĐẠT,1136783777,Mua sắm công cụ dụng cụ,175053000,8,14004240,189057240,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,1C25RYE,8852898,2025-01-01,CÔNG TY CP ĐẦU TƯ THIÊN AN,4828809570,CÔNG TY TNHH KIM LONG,0839117182,Dịch vụ vệ sinh công nghiệp,160014000,10,16001400,176015400,VND,,,,,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-02,,,,,Chi phí quảng cáo marketing,,,,,VND,PC8495,CÔNG TY CỔ PHẦN PHÚ QUÝ,Huỳnh Minh Xuân,49674000,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-01,,,,,Mua sắm công cụ dụng cụ,,,,,VND,PC0746,CÔNG TY TNHH SX-TM KIM LONG,DOANH NGHIỆP TƯ NHÂN HÙNG VƯƠNG,19245000,,,,,,,,,,,,,,,,,
bank_transfer,,,2025-01-01,,,,,Cung cấp phần mềm quản lý,,,,,VND,UNC98886,,,319282000,DOANH NGHIỆP TƯ NHÂN QUỐC CƯỜNG,0122961201836,TPBank,4785943957733,CÔNG TY TNHH MTV TRƯỜNG PHÁT,4845991022,VPBank,7459906230905,,,,,,,,,
cash_receipt,,,2025-01-01,,,,,Thu tiền đặt cọc hợp đồng,,,,,VND,PT1077,Đặng Văn Vinh,CÔNG TY TNHH HƯNG THỊNH,82030000,,,,,,,,,,,,,,,,,
payroll,,,2025-01-01,,,,,,,,,,VND,BL202501,,,,,,,,,,,,Hoàng Minh Yến,Thủ kho,HC-NS,38256000,3060480,573840,382560,1161956,33077164
invoice_vat,2C25IEY,5647120,2025-01-02,CÔNG TY CP ĐẦU TƯ PHÚC LỘC,3232181960013,CÔNG TY CỔ PHẦN THIÊN AN,9286379402,Cung cấp dịch vụ tư vấn,27793000,0,0,27793000,VND,,,,,,,,,,,,,,,,,,,,,
cash_receipt,,,2025-01-02,,,,,Thu tiền bán hàng,,,,,VND,PT2696,CÔNG TY TNHH SX-TM KIM LONG,CÔNG TY CP ĐẦU TƯ PHÚ QUÝ,38884000,,,,,,,,,,,,,,,,,
invoice_vat,2C25RVI,0463061,2025-01-01,CÔNG TY CP ĐẦU TƯ NAM VIỆT,9016073375,DOANH NGHIỆP TƯ NHÂN NAM VIỆT,8536541458,Chi phí quảng cáo marketing,31236000,8,2498880,33734880,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,2C25TLP,6073293,2025-01-02,CÔNG TY TNHH MTV BẢO MINH,8850305641,CÔNG TY CỔ PHẦN HÙNG VƯƠNG,8476724238,Cung cấp dịch vụ tư vấn,58493000,5,2924650,61417650,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,2C25OER,6361003,2025-01-02,DOANH NGHIỆP TƯ NHÂN TÂN HOÀNG,4556981693406,CÔNG TY TNHH THIÊN AN,5615951484656,Dịch vụ bảo trì hệ thống,178554000,5,8927700,187481700,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,1C25PNW,2641283,2025-01-01,CÔNG TY TNHH TM-DV NAM VIỆT,6373602606474,CÔNG TY TNHH MTV SĐ TOÀN CẦU,2543098050,Cung cấp dịch vụ tư vấn,15910000,0,0,15910000,VND,,,,,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-01,,,,,Mua hàng nhập kho,,,,,VND,PC4416,DOANH NGHIỆP TƯ NHÂN VĨNH THUẬN,Đỗ Minh Nam,49662000,,,,,,,,,,,,,,,,,
bank_transfer,,,2025-01-01,,,,,Cung cấp phần mềm quản lý,,,,,VND,UNC20219,,,321127000,CÔNG TY CP ĐẦU TƯ THIÊN AN,6650542357332,BIDV,767383971679,CÔNG TY CỔ PHẦN AN KHANG,6588059296,ACB,4178798808648,,,,,,,,,
cash_disbursement,,,2025-01-02,,,,,Mua sắm công cụ dụng cụ,,,,,VND,PC3994,CÔNG TY TNHH MTV TRƯỜNG PHÁT,DOANH NGHIỆP TƯ NHÂN SĐ TOÀN CẦU,9579000,,,,,,,,,,,,,,,,,
invoice_vat,1C25YWG,8398442,2025-01-02,CÔNG TY TNHH TM-DV TÂN HOÀNG,8126916697,CÔNG TY TNHH SX-TM THÀNH ĐẠT,8884514627,Chi trả hoa hồng đại lý,47832000,0,0,47832000,VND,,,,,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-02,,,,,Dịch vụ kiểm toán báo cáo tài chính,,,,,VND,PC0716,CÔNG TY TNHH MTV ĐẠI PHONG,CÔNG TY TNHH TM-DV VĨNH THUẬN,31096000,,,,,,,,,,,,,,,,,
invoice_vat,2C25EJR,1197936,2025-01-01,DOANH NGHIỆP TƯ NHÂN KIM LONG,9478161849,CÔNG TY TNHH TM-DV KIM LONG,0634131647,Mua nguyên vật liệu sản xuất,160680000,5,8034000,168714000,VND,,,,,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-01,,,,,"Thanh toán tiền điện, nước",,,,,VND,PC8923,DOANH NGHIỆP TƯ NHÂN HÙNG VƯƠNG,Võ Văn Hùng,9864000,,,,,,,,,,,,,,,,,
payroll,,,2025-01-01,,,,,,,,,,VND,BL202501,,,,,,,,,,,,Đỗ Minh Mai,Thủ kho,Kinh doanh,26673000,2133840,400095,266730,643616,23228719
invoice_vat,2C25QHC,4793723,2025-01-02,CÔNG TY CP ĐẦU TƯ MINH PHÁT,2928708317278,CÔNG TY TNHH SX-TM LONG THÀNH,7986872774348,Mua thiết bị văn phòng,62471000,8,4997680,67468680,VND,,,,,,,,,,,,,,,,,,,,,
payroll,,,2025-01-01,,,,,,,,,,VND,BL202501,,,,,,,,,,,,Phạm Quốc Hà,Trưởng phòng kinh doanh,Kế toán,18620000,1489600,279300,186200,283245,16381655
cash_disbursement,,,2025-01-02,,,,,Chi trả hoa hồng đại lý,,,,,VND,PC5189,CÔNG TY CP ĐẦU TƯ BẢO MINH,CÔNG TY CP ĐẦU TƯ VĨNH THUẬN,35556000,,,,,,,,,,,,,,,,,
invoice_vat,2C25VBI,2194790,2025-01-01,CÔNG TY CỔ PHẦN TRƯỜNG PHÁT,8684124118,CÔNG TY CỔ PHẦN THÀNH ĐẠT,9253487401,Dịch vụ kiểm toán báo cáo tài chính,168015000,8,13441200,181456200,VND,,,,,,,,,,,,,,,,,,,,,
cash_receipt,,,2025-01-02,,,,,Thu tiền công nợ khách hàng,,,,,VND,PT6524,Đỗ Thanh Hà,CÔNG TY CỔ PHẦN TÂN HOÀNG,16211000,,,,,,,,,,,,,,,,,
cash_disbursement,,,2025-01-02,,,,,Dịch vụ vệ sinh công nghiệp,,,,,VND,PC3946,CÔNG TY TNHH LONG THÀNH,CÔNG TY TNHH HOÀNG ANH,38317000,,,,,,,,,,,,,,,,,
invoice_vat,2C25CAI,6296606,2025-01-01,CÔNG TY TNHH PHÚ QUÝ,4531003309,CÔNG TY CỔ PHẦN NAM VIỆT,8619374529912,Chi phí quảng cáo marketing,104980000,5,5249000,110229000,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,1C25ZVW,0415847,2025-01-02,CÔNG TY TNHH MTV SĐ TOÀN CẦU,1512805982,CÔNG TY TNHH MTV VĨNH THUẬN,4705331586923,Mua hàng nhập kho,48018000,8,3841440,51859440,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,2C25RFD,9580514,2025-01-01,CÔNG TY TNHH SX-TM ĐẠI PHONG,8657871331509,CÔNG TY TNHH SX-TM NAM VIỆT,1003105183,Mua hàng nhập kho,152050000,10,15205000,167255000,VND,,,,,,,,,,,,,,,,,,,,,
invoice_vat,2C25MVP,5407374,2025-01-02,CÔNG TY CP ĐẦU TƯ NAM VIỆT,8891905865185,CÔNG TY TNHH TÍN PHÁT,5657262849,Dịch vụ vệ sinh công nghiệp,65355000,0,0,65355000,VND,,,,,,,,,,,,,,,,,,,,,
